dna_id,rna1_id
1066,4250
664,2508
14,51
971,3886
38,125
424,1717
833,3333
402,1593
30,106
1118,4344
501,1949
836,3347
23,97
566,2145
804,3143
811,3172
711,2666
91,347
34,118
1091,4314
443,1809
407,1612
622,2329
1029,4064
475,1905
448,1828
177,672
237,891
590,2235
607,2307
851,3421
20,94
117,459
871,3510
227,798
626,2358
794,3064
706,2661
256,995
274,1052
586,2215
393,1540
333,1306
1079,4284
880,3522
450,1830
266,1018
284,1066
658,2494
22,96
261,1010
604,2298
766,2938
326,1279
449,1829
780,2983
291,1097
571,2162
549,2102
674,2567
174,664
150,581
730,2773
107,410
196,735
421,1698
769,2948
944,3796
677,2578
73,259
837,3352
495,1932
842,3380
132,512
810,3170
2,6
124,488
839,3362
453,1843
464,1885
829,3242
1047,4156
279,1061
17,91
935,3741
370,1422
104,391
787,3043
565,2144
570,2154
670,2547
339,1331
137,528
260,1009
374,1429
415,1664
413,1656
1045,4154
1126,4352
659,2498
505,1954
630,2367
779,2982
946,3803
239,907
657,2490
765,2932
865,3503
85,308
795,3066
282,1064
411,1652
598,2286
696,2635
731,2775
662,2503
758,2885
473,1903
682,2584
1128,4354
700,2643
643,2453
784,3033
633,2415
889,3558
1038,4128
771,2955
1144,4370
884,3531
347,1349
692,2613
564,2135
51,194
168,649
233,867
1051,4180
31,107
95,360
281,1063
200,755
265,1016
271,1034
1069,4258
481,1911
164,635
955,3829
37,122
1049,4173
278,1058
941,3770
728,2771
926,3693
225,796
719,2697
12,43
823,3229
624,2331
669,2540
1058,4224
0,3
559,2122
519,1991
536,2053
527,2025
273,1045
286,1068
510,1968
69,223
540,2063
623,2330
636,2422
579,2192
617,2320
896,3580
694,2631
123,484
425,1725
361,1403
618,2321
908,3604
727,2762
1129,4355
956,3838
55,202
807,3148
1062,4239
777,2976
808,3158
1028,4063
945,3797
179,677
1046,4155
979,3905
909,3605
45,150
327,1282
1103,4328
323,1263
3,8
890,3561
169,651
1106,4332
506,1955
512,1971
673,2563
232,862
987,3955
105,403
1100,4325
1101,4326
116,458
1105,4331
638,2427
760,2898
186,700
1008,4021
718,2694
513,1972
463,1883
371,1423
750,2830
873,3514
438,1796
1014,4031
77,282
924,3683
592,2260
1044,4151
344,1342
954,3823
84,306
627,2360
806,3147
246,945
858,3470
125,490
78,284
547,2098
855,3448
770,2953
975,3896
1112,4338
1082,4297
354,1381
681,2583
600,2292
1090,4313
48,172
285,1067
595,2283
656,2487
142,559
605,2299
1108,4334
215,785
964,3873
362,1406
114,444
403,1594
910,3606
471,1901
494,1931
507,1956
313,1229
925,3684
372,1425
356,1393
715,2675
741,2799
515,1979
1061,4234
1041,4146
1010,4026
619,2322
461,1872
744,2804
395,1561
517,1982
236,885
53,197
632,2414
88,314
710,2665
861,3474
163,632
378,1456
1003,4013
665,2516
189,705
430,1740
870,3509
881,3527
155,586
535,2051
79,296
405,1602
167,648
772,2963
835,3343
467,1894
396,1563
1097,4321
993,3973
210,780
318,1246
814,3189
1102,4327
115,456
72,245
264,1014
322,1258
399,1577
288,1081
161,626
426,1732
846,3411
733,2777
895,3577
912,3613
791,3058
746,2806
973,3889
802,3140
940,3766
637,2426
522,2014
208,778
184,689
862,3477
457,1860
223,793
736,2792
793,3063
178,676
269,1030
1004,4014
296,1121
446,1826
508,1957
66,220
712,2667
929,3704
516,1980
646,2465
65,219
581,2197
866,3504
43,142
998,3987
452,1842
158,597
379,1457
843,3393
176,671
737,2793
803,3141
933,3711
970,3883
1023,4048
569,2151
1053,4200
136,525
90,338
162,631
847,3412
82,301
678,2579
1087,4305
1146,4372
120,473
557,2119
220,790
788,3052
497,1935
974,3894
242,930
93,353
36,121
666,2519
743,2802
796,3071
608,2308
984,3942
1025,4058
1109,4335
268,1022
550,2103
60,211
582,2209
465,1888
844,3404
1065,4249
324,1268
834,3337
345,1346
352,1371
763,2920
848,3413
962,3868
1060,4228
567,2146
1076,4265
1089,4312
1135,4361
588,2221
156,591
445,1825
359,1401
830,3253
742,2801
306,1150
831,3254
1134,4360
290,1089
707,2662
259,1008
338,1328
80,299
1148,4375
1111,4337
713,2668
181,680
305,1148
502,1950
976,3898
951,3816
238,900
699,2642
611,2313
819,3215
329,1292
157,595
183,682
251,954
817,3208
64,218
977,3902
1048,4171
1071,4260
404,1598
175,670
776,2974
901,3591
1078,4279
1092,4316
620,2323
1085,4301
1080,4294
100,372
106,404
886,3539
560,2123
202,767
1143,4369
130,510
134,514
1037,4125
529,2040
703,2657
47,164
166,641
108,412
774,2971
906,3601
797,3076
1059,4227
442,1806
952,3817
1081,4295
385,1505
1094,4318
440,1804
574,2181
222,792
358,1397
410,1649
301,1131
927,3695
428,1738
599,2289
949,3811
298,1123
205,770
1130,4356
52,195
685,2594
314,1230
553,2111
195,723
315,1233
898,3585
1073,4262
427,1736
292,1099
303,1137
466,1893
778,2977
500,1945
254,968
400,1583
640,2447
496,1934
249,948
704,2659
822,3228
965,3874
968,3881
1011,4028
854,3447
152,583
518,1983
126,506
899,3587
551,2107
812,3175
1013,4030
188,702
9,19
308,1162
394,1545
840,3363
219,789
948,3810
353,1378
245,944
462,1877
749,2819
41,135
1138,4364
555,2117
419,1689
660,2499
386,1506
735,2791
360,1402
1030,4065
732,2776
893,3571
1068,4254
441,1805
531,2044
490,1927
931,3706
612,2314
813,3182
826,3232
1026,4060
597,2285
801,3111
938,3753
309,1169
391,1532
1132,4358
376,1432
173,659
182,681
563,2134
701,2646
809,3169
849,3414
697,2636
357,1394
577,2188
1075,4264
562,2133
856,3449
538,2060
988,3962
89,337
129,509
234,870
255,971
676,2573
753,2843
904,3596
1122,4348
1120,4346
13,44
688,2597
897,3582
1055,4216
798,3085
355,1392
380,1482
1070,4259
580,2196
725,2755
212,782
244,943
320,1255
392,1534
918,3660
967,3880
1035,4099
437,1795
994,3975
1096,4320
483,1913
530,2043
532,2045
1125,4351
894,3574
1056,4217
1074,4263
1095,4319
995,3983
191,711
482,1912
1033,4076
1107,4333
930,3705
767,2943
294,1102
317,1245
365,1413
781,2984
800,3089
185,697
389,1517
416,1668
211,781
1127,4353
663,2504
1098,4323
218,788
8,15
102,375
119,466
558,2120
337,1327
504,1952
792,3062
86,312
206,771
533,2046
171,655
606,2302
1067,4252
172,658
957,3841
883,3530
960,3860
94,358
773,2969
1063,4246
572,2174
96,361
845,3408
947,3809
986,3949
1000,3990
757,2874
589,2231
561,2131
201,757
42,141
351,1368
406,1604
762,2916
740,2798
747,2807
832,3259
1147,4373
932,3710
631,2407
27,101
480,1910
552,2110
661,2502
786,3035
1072,4261
487,1919
878,3520
942,3785
668,2539
824,3230
1050,4177
141,551
639,2442
869,3507
28,104
382,1494
479,1909
240,919
761,2903
690,2609
217,787
683,2585
922,3681
764,2931
98,364
705,2660
122,483
1137,4363
204,769
21,95
297,1122
876,3518
135,521
15,72
534,2047
879,3521
892,3567
328,1283
594,2280
276,1055
818,3211
302,1132
867,3505
447,1827
936,3743
484,1916
143,560
816,3205
548,2101
311,1193
485,1917
310,1178
439,1802
937,3750
1084,4299
989,3966
10,26
401,1584
492,1929
180,679
587,2216
790,3055
1052,4191
691,2610
83,305
198,750
325,1278
312,1220
226,797
1017,4042
913,3614
39,129
216,786
109,413
321,1257
1104,4330
138,541
488,1924
350,1364
523,2016
928,3697
695,2633
289,1088
432,1778
75,269
1002,4007
872,3511
648,2468
1140,4366
647,2466
331,1295
916,3625
738,2796
81,300
363,1407
498,1938
996,3985
985,3947
262,1012
953,3818
50,192
243,931
423,1705
253,957
714,2671
905,3600
991,3969
377,1452
759,2894
316,1241
722,2720
689,2600
159,612
275,1053
422,1704
207,775
444,1810
888,3552
1006,4019
751,2835
1121,4347
1139,4365
499,1941
511,1970
7,13
654,2483
698,2639
304,1140
864,3495
997,3986
1009,4025
472,1902
556,2118
613,2315
667,2522
875,3517
145,565
1012,4029
103,379
544,2091
593,2278
583,2210
1001,4006
187,701
460,1865
1110,4336
1039,4136
381,1490
140,550
5,11
827,3235
61,213
258,1007
917,3652
838,3361
610,2310
857,3458
139,542
914,3617
1114,4340
900,3588
24,98
70,225
434,1782
903,3595
687,2596
1142,4368
283,1065
486,1918
477,1907
250,953
456,1856
726,2756
850,3420
1040,4144
920,3675
417,1669
882,3529
775,2973
192,715
1027,4062
614,2316
1018,4043
959,3856
433,1779
193,719
235,871
112,419
203,768
277,1057
859,3471
863,3480
525,2020
799,3088
923,3682
489,1926
1005,4018
364,1409
368,1419
1099,4324
128,508
543,2079
934,3726
476,1906
789,3054
230,857
1032,4067
26,100
961,3861
63,217
241,928
170,652
672,2559
59,209
343,1338
111,418
734,2790
950,3813
963,3872
1086,4304
1119,4345
469,1896
981,3923
992,3972
340,1332
375,1431
18,92
493,1930
336,1326
1016,4036
213,783
1115,4341
520,1994
224,794
384,1501
133,513
454,1845
860,3472
330,1293
148,569
190,709
383,1500
451,1831
470,1899
541,2073
874,3515
628,2365
651,2477
576,2183
716,2678
907,3602
478,1908
11,27
436,1789
397,1564
76,270
131,511
1042,4147
418,1671
280,1062
585,2213
509,1958
752,2836
341,1334
1007,4020
147,568
868,3506
999,3989
67,221
49,191
939,3755
755,2864
92,352
151,582
1123,4349
573,2180
149,571
891,3565
1145,4371
1015,4033
653,2479
346,1347
686,2595
983,3939
568,2149
455,1846
295,1107
521,1999
915,3622
35,119
634,2417
349,1359
852,3427
1088,4310
335,1318
87,313
503,1951
621,2328
575,2182
641,2448
717,2679
1083,4298
74,260
300,1125
679,2581
702,2648
1077,4266
708,2663
825,3231
782,3026
943,3795
675,2571
693,2630
841,3376
468,1895
435,1788
729,2772
153,584
165,639
458,1861
748,2810
16,73
342,1335
655,2484
785,3034
144,563
601,2293
46,161
54,199
644,2454
228,837
209,779
546,2094
6,12
554,2114
68,222
32,108
980,3920
921,3677
221,791
197,747
684,2586
57,207
408,1629
459,1862
625,2349
319,1254
62,215
97,363
652,2478
257,996
307,1151
409,1648
828,3240
334,1313
739,2797
4,10
214,784
272,1035
754,2863
584,2212
1057,4218
919,3661
1036,4100
1064,4247
194,722
287,1069
1113,4339
514,1973
366,1416
966,3875
231,858
247,946
348,1351
724,2754
121,476
745,2805
877,3519
969,3882
267,1019
972,3888
429,1739
110,414
367,1418
491,1928
642,2452
990,3967
29,105
615,2317
539,2061
1024,4054
248,947
1131,4357
332,1298
1093,4317
369,1420
602,2294
853,3444
1031,4066
19,93
154,585
542,2074
113,429
629,2366
199,754
263,1013
1020,4045
1054,4215
609,2309
388,1516
680,2582
58,208
373,1427
635,2419
783,3028
40,133
229,851
118,463
911,3608
721,2719
146,567
56,206
671,2558
1,5
1133,4359
33,109
414,1662
526,2024
649,2473
815,3201
578,2191
1021,4046
645,2463
293,1101
723,2747
537,2056
958,3853
545,2092
101,374
390,1527
1043,4148
524,2018
160,619
820,3216
768,2946
1022,4047
127,507
99,371
270,1032
25,99
1136,4362
650,2476
252,955
299,1124
528,2034
756,2866
603,2295
1141,4367
412,1653
805,3146
982,3934
720,2708
596,2284
902,3594
591,2237
398,1570
821,3227
616,2319
474,1904
387,1511
1117,4343
44,143
885,3535
420,1690
1019,4044
71,226
1034,4085
978,3904
1116,4342
431,1751
1124,4350
1149,4379
709,2664
887,3540
